t, dist, e_dist, dist_err, input, output, error
0.011600, 4.968056, 448.685716, -443.717659, -1.570796, 1.027905, -2.598701, 
0.011700, 4.974755, 441.347916, -436.373161, -1.570796, 1.027571, -2.598367, 
0.011800, 4.980668, 434.180683, -429.200015, -1.570796, 1.027234, -2.598030, 
0.011900, 4.985794, 427.179748, -422.193954, -1.570796, 1.026894, -2.597690, 
0.012000, 4.990134, 420.340953, -415.350819, -1.570796, 1.026552, -2.597348, 
0.012100, 4.993685, 413.660238, -408.666554, -1.570796, 1.026206, -2.597002, 
0.012200, 4.996447, 407.133651, -402.137204, -1.570796, 1.025858, -2.596654, 
0.012300, 4.998421, 400.757334, -395.758913, -1.570796, 1.025506, -2.596302, 
0.012400, 4.999605, 394.527526, -389.527921, -1.570796, 1.025152, -2.595948, 
0.012500, 5.000000, 388.440563, -383.440563, -1.570796, 1.024795, -2.595591, 
0.012600, 4.999605, 382.492870, -377.493265, -1.570796, 1.024435, -2.595231, 
0.012700, 4.998421, 376.680961, -371.682540, -1.570796, 1.024073, -2.594869, 
0.012800, 4.996447, 371.001438, -366.004990, -1.570796, 1.023707, -2.594503, 
0.012900, 4.993685, 365.450988, -360.457303, -1.570796, 1.023338, -2.594134, 
0.013000, 4.990134, 360.026381, -355.036247, -1.570796, 1.022967, -2.593763, 
0.013100, 4.985795, 354.724467, -349.738672, -1.570796, 1.022593, -2.593389, 
0.013200, 4.980668, 349.542174, -344.561506, -1.570796, 1.022216, -2.593012, 
0.013300, 4.974755, 344.476509, -339.501754, -1.570796, 1.021836, -2.592632, 
0.013400, 4.968057, 339.524552, -334.556496, -1.570796, 1.021453, -2.592249, 
0.013500, 4.960574, 334.683457, -329.722883, -1.570796, 1.021067, -2.591863, 
0.013600, 4.952307, 329.950447, -324.998140, -1.570796, 1.020679, -2.591475, 
0.013700, 4.943259, 325.322817, -320.379558, -1.570796, 1.020287, -2.591083, 
0.013800, 4.933430, 320.797928, -315.864498, -1.570796, 1.019893, -2.590689, 
0.013900, 4.922822, 316.373208, -311.450386, -1.570796, 1.019496, -2.590292, 
0.014000, 4.911437, 312.046148, -307.134711, -1.570796, 1.019095, -2.589891, 
0.014100, 4.899276, 307.814302, -302.915026, -1.570796, 1.018693, -2.589489, 
0.014200, 4.886341, 303.675286, -298.788945, -1.570796, 1.018287, -2.589083, 
0.014300, 4.872635, 299.626774, -294.754139, -1.570796, 1.017878, -2.588674, 
0.014400, 4.858159, 295.666500, -290.808341, -1.570796, 1.017467, -2.588263, 
0.014500, 4.842916, 291.792254, -286.949338, -1.570796, 1.017052, -2.587848, 
0.014600, 4.826909, 288.001879, -283.174971, -1.570796, 1.016635, -2.587431, 
0.014700, 4.810139, 284.293276, -279.483137, -1.570796, 1.016215, -2.587011, 
0.014800, 4.792609, 280.664394, -275.871784, -1.570796, 1.015792, -2.586588, 
0.014900, 4.774323, 277.113236, -272.338913, -1.570796, 1.015366, -2.586162, 
0.015000, 4.755283, 273.637855, -268.882572, -1.570796, 1.014937, -2.585733, 
0.015100, 4.735492, 270.236351, -265.500859, -1.570796, 1.014505, -2.585301, 
0.015200, 4.714953, 266.906873, -262.191919, -1.570796, 1.014071, -2.584867, 
0.015300, 4.693670, 263.647614, -258.953944, -1.570796, 1.013633, -2.584429, 
0.015400, 4.671645, 260.456816, -255.785170, -1.570796, 1.013193, -2.583989, 
0.015500, 4.648883, 257.332761, -252.683877, -1.570796, 1.012750, -2.583546, 
0.015600, 4.625387, 254.273775, -249.648388, -1.570796, 1.012304, -2.583100, 
0.015700, 4.601160, 251.278228, -246.677068, -1.570796, 1.011855, -2.582651, 
0.015800, 4.576207, 248.344528, -243.768321, -1.570796, 1.011404, -2.582200, 
0.015900, 4.550531, 245.471123, -240.920592, -1.570796, 1.010949, -2.581745, 
0.016000, 4.524136, 242.656502, -238.132366, -1.570796, 1.010491, -2.581287, 
0.016100, 4.497027, 239.899189, -235.402162, -1.570796, 1.010031, -2.580827, 
0.016200, 4.469208, 237.197747, -232.728539, -1.570796, 1.009568, -2.580364, 
0.016300, 4.440683, 234.550774, -230.110091, -1.570796, 1.009102, -2.579898, 
0.016400, 4.411457, 231.956903, -227.545446, -1.570796, 1.008633, -2.579429, 
0.016500, 4.381534, 229.414800, -225.033266, -1.570796, 1.008161, -2.578957, 
0.016600, 4.350920, 226.923167, -222.572247, -1.570796, 1.007686, -2.578482, 
0.016700, 4.319618, 224.480736, -220.161118, -1.570796, 1.007209, -2.578005, 
0.016800, 4.287634, 222.086272, -217.798637, -1.570796, 1.006728, -2.577524, 
0.016900, 4.254974, 219.738569, -215.483596, -1.570796, 1.006245, -2.577041, 
0.017000, 4.221641, 217.436455, -213.214814, -1.570796, 1.005759, -2.576555, 
0.017100, 4.187641, 215.178783, -210.991142, -1.570796, 1.005270, -2.576066, 
0.017200, 4.152981, 212.964437, -208.811456, -1.570796, 1.004778, -2.575574, 
0.017300, 4.117664, 210.792328, -206.674664, -1.570796, 1.004283, -2.575079, 
0.017400, 4.081698, 208.661395, -204.579697, -1.570796, 1.003786, -2.574582, 
0.017500, 4.045086, 206.570602, -202.525516, -1.570796, 1.003285, -2.574081, 
0.017600, 4.007836, 204.518941, -200.511105, -1.570796, 1.002782, -2.573578, 
0.017700, 3.969953, 202.505428, -198.535474, -1.570796, 1.002276, -2.573072, 
0.017800, 3.931444, 200.529103, -196.597659, -1.570796, 1.001766, -2.572562, 
0.017900, 3.892313, 198.589030, -194.696717, -1.570796, 1.001254, -2.572050, 
0.018000, 3.852568, 196.684298, -192.831730, -1.570796, 1.000740, -2.571536, 
0.018100, 3.812214, 194.814018, -191.001804, -1.570796, 1.000222, -2.571018, 
0.018200, 3.771258, 192.977321, -189.206063, -1.570796, 0.999701, -2.570497, 
0.018300, 3.729707, 191.173364, -187.443657, -1.570796, 0.999178, -2.569974, 
0.018400, 3.687567, 189.401322, -185.713754, -1.570796, 0.998651, -2.569447, 
0.018500, 3.644845, 187.660390, -184.015545, -1.570796, 0.998122, -2.568918, 
